ID,Time_taken (min)
0x2318,35
0x3474,32
0x9420,32
0x72ee,30
0xa759,34
0xc4af,30
0x3b9d,29
0xdd42,24
0x872b,43
0x6001,41
0xd845,35
0x4946,25
0x4598,21
0xbd51,33
0x73ec,41
0x5ca7,36
0x9fa6,40
0x914e,34
0x36e5,45
0xd82e,33
0x1df3,21
0xa65,45
0x8b83,22
0x5b95,33
0xaa43,36
0x9995,45
0x1018,32
0x4af3,44
0x87a1,22
0xb64c,45
0x4b7e,27
0x252d,25
0x368e,22
0xe09,29
0x39aa,40
0xb542,32
0x7604,27
0x597c,38
0x184f,33
0x9442,29
0x84e,37
0xa6ba,45
0xb66b,33
0x9bb,25
0x8d9a,27
0x869f,23
0xc587,37
0x3167,39
0x4981,26
0x4c83,20
0x2493,27
0x21a5,34
0x5571,33
0x45b1,53
0xb1f0,34
0x75d9,33
0x46dd,27
0xc002,46
0x95e5,28
0x1c1f,21
0x45bd,23
0xb986,33
0x1761,47
0xb84c,24
0x69c3,29
0xd68c,45
0xd05f,45
0xb5f0,31
0x69a8,42
0xc9c5,40
0x478e,34
0x12dd,25
0x78e3,34
0x1661,45
0xcb17,23
0xdff4,25
0x75c3,27
0xceb4,36
0x8ae4,30
0xdb61,22
0x790,20
0x8968,38
0xa39a,35
0x8826,29
0x4c8c,25
0x103c,32
0x98a8,24
0xb338,41
0x366d,40
0x7d75,35
0x6d30,45
0x616f,35
0x9ee3,28
0x4d82,19
0xb757,40
0x2e53,32
0xd686,21
0x828d,24
0xb9f5,33
0x73c4,31
0xd427,20
0xc009,33
0x7030,29
0xc500,24
0xd0f4,23
0x6e8c,32
0xa1ee,27
0x4720,33
0x5691,38
0xb8f1,32
0xc790,44
0x3234,30
0xb2be,25
0x7f50,28
0x6fd1,20
0x5a8b,33
0x714d,40
0x4bff,33
0x9925,27
0x6fd6,29
0x2872,32
0x66c,36
0x90f7,33
0xddd,35
0x2a29,31
0x7eb3,40
0x6d17,40
0x7134,30
0xa4f0,26
0x213f,23
0x70e8,24
0x8556,45
0xaae6,25
0x9724,33
0x6208,21
0x5164,26
0xa70e,41
0x6afb,29
0xc0f1,26
0x76e4,28
0x3d34,23
0x540c,31
0x83de,46
0xc950,44
0x63ac,36
0x602b,41
0x757e,40
0x31a9,32
0xd9b5,26
0x4175,23
0xd350,39
0x3aa6,29
0x2473,41
0xc94a,22
0x32c9,34
0x986d,23
0x4924,24
0x49c7,22
0x167f,37
0xfb9,39
0x9c99,29
0x28f5,44
0xaaf9,40
0x84b5,35
0x43fb,28
0xc78c,30
0x9159,27
0x61c2,26
0x4fce,39
0xcb2d,31
0x7d38,39
0x897f,41
0x77e6,33
0xadd8,22
0x8ff2,27
0x5d7e,33
0x4722,31
0x9cd8,40
0x1048,24
0x9a3a,44
0x4685,39
0xcb42,24
0xb01c,29
0x2fee,33
0x2a87,23
0x7e10,48
0xb402,33
0x4ccf,28
0xab1f,37
0xd269,19
0x9e50,41
0x1a5f,34
0x9b4,35
0x2e4d,50
0x9fd9,36
0xd79,25
0x709c,27
0x930e,26
0x8d4e,29
0x762,27
0xae5b,22
0x4f12,24
0x298a,23
0x7f37,38
0x3a0a,32
0xc46b,34
0xc65e,35
0x2fa8,30
0x413f,25
0xa1e5,34
0x8448,28
0x4c8,28
0x8fe4,34
0x162f,29
0x8cc9,30
0x77cb,22
0x44d2,44
0x8750,39
0x2fda,37
0x513b,29
0x3e5f,32
0x8abc,42
0x5c05,40
0x5db1,34
0x34e0,28
0xbe30,25
0x69b3,27
0xd73e,30
0x9018,50
0x144c,39
0x8085,30
0xc234,33
0x1c42,41
0xe009,29
0xdc62,39
0xc5d0,23
0x5575,24
0x4859,45
0xc23b,31
0x7e0a,32
0x59d0,44
0xe7e,19
0x4e8b,44
0x3013,30
0x4ff2,24
0x4137,25
0xd82a,31
0x5099,25
0x59c3,19
0x8f41,24
0x818e,33
0xca4a,28
0xbc1c,38
0x8636,33
0xb0ae,29
0x7260,34
0x5081,26
0x4007,27
0xa99d,39
0x9432,23
0x8cb7,40
0xa6dc,22
0xd793,30
0x32e3,33
0xb819,26
0xbad3,36
0x7e87,34
0x2fab,23
0x73a9,24
0x70f9,22
0x5644,26
0x1054,48
0x349f,24
0xa51,47
0x76d3,29
0x31d1,27
0x9eee,27
0xdd6b,33
0x6036,46
0xe1b7,36
0xc90d,26
0xe130,37
0xbdf1,32
0x5ac8,31
0x6b26,28
0x3e86,34
0x15e9,23
0xb1e7,26
0xda7a,31
0x1480,32
0x4930,24
0x440b,32
0x9745,38
0xb5a7,24
0x7d84,41
0x434c,34
0x77a,40
0x9f29,32
0xcaf8,25
0x224d,26
0x25cc,27
0x31f5,24
0x4558,37
0xb73c,40
0x852a,27
0x7ccb,32
0x7bfa,23
0x6fce,22
0x53fb,26
0x1abb,31
0x37ab,38
0x724,40
0x7562,21
0x4bc,35
0x6fb0,36
0x8125,44
0x7ffe,32
0x9777,30
0x1de2,32
0x7b97,23
0x5fec,32
0x4d52,26
0x6a5b,37
0xbe1f,36
0x4c2e,45
0x4926,45
0x8f60,23
0x8976,41
0x69d1,37
0x943e,35
0x6e5e,26
0x13a7,34
0xae96,41
0x808c,37
0x20a8,37
0xce17,24
0x20de,28
0x8e76,52
0x705b,50
0x1bdc,30
0xabdb,23
0xc35a,30
0xc784,24
0xbbbe,35
0x59f5,33
0x8df5,40
0xdb44,30
0x8265,32
0x48f8,22
0xc1d2,32
0x1f28,40
0xb9c0,30
0x3f33,33
0xc767,32
0x7d5,24
0xe8e,25
0x87f8,32
0x1fef,24
0x96e0,29
0x9778,23
0x5b6,35
0x641b,34
0x62c0,20
0x2806,50
0xe110,43
0x9c2c,34
0x3d79,24
0x5367,52
0x57e8,41
0x6e7f,34
0x76ac,33
0x32ba,35
0x99c5,32
0x35df,30
0xaaa0,29
0xa754,22
0x6186,30
0x24b8,31
0x3a14,38
0x12c4,27
0x6eb0,37
0x26f3,33
0x7947,24
0x754a,27
0x59ab,22
0xb5e4,39
0xd4fb,35
0xc9b0,32
0xa0e1,50
0x4c7f,45
0x175c,23
0x53a7,38
0x8e57,26
0x75ca,32
0x67d9,20
0x2ed8,38
0x7c90,36
0x68cc,19
0x5fff,45
0xa19e,44
0x469f,27
0x9047,29
0x3722,33
0xdad8,31
0xa64f,25
0x82b5,24
0xaafc,25
0x51a6,41
0x53c2,23
0x13e4,40
0xc5f4,26
0x88f0,24
0x3165,23
0x2cd2,40
0x1fe8,41
0xa5b7,26
0x5892,28
0xc1ad,24
0x64f1,33
0xc322,29
0x297c,28
0x6b0d,35
0xcd91,32
0x7bef,33
0x255c,37
0xbbe4,22
0x5138,21
0xe2e,19
0x64bc,40
0x3deb,33
0x88e7,41
0x5e32,46
0x8c6,46
0x977b,33
0x28c1,29
0x2796,22
0xcf69,22
0x5940,32
0x443d,29
0x8691,33
0xb1dd,39
0x8458,33
0xc5a5,22
0x8ab,33
0x422f,40
0x2de2,28
0xbd88,34
0x98c3,46
0x7c25,37
0x692d,39
0x239b,27
0x500,36
0x2f0f,33
0x9e02,26
0xd788,25
0x59e0,33
0x4a68,25
0x4cd0,27
0xabc7,30
0xc479,36
0xb130,39
0xbf88,32
0xc7bb,22
0x6ce2,47
0xba0a,43
0x7401,23
0xd2e0,23
0x3af4,28
0x4918,33
0x7137,33
0x8e94,36
0xca05,33
0x5ba8,33
0x2e29,36
0x9f1d,29
0x498b,24
0x461b,41
0xcea5,29
0x47aa,24
0x753f,30
0x996d,33
0xdd79,34
0x56cc,41
0xabcb,37
0xa67e,23
